엘피,NS01,ZNZ,,,,
엠시티,NS01,ZNZ,,,,
엠앤드에이,NS01,ZNZ,,,,
여남은,NS02,ZNZ,,,,
여단,NS02,ZNZ,,,,
여성상,NS02,ZNZ,,,,
여적,NS02,ZNZ,,,,
여행권,NS02,ZNZ,,,,
연내,NS01,ZNZ,,,,
연락관,NS02,ZNZ,,,,
연락관실,NS03,ZNZ,,,,
연속극,NS02,ZNZ,,,,
연일,NS03,ZNZ,,,,
염라국,NS02,ZNZ,,,,
염장이,NS01,ZNZ,,,,
영노,NS01,ZNZ,,,,
영문과,NS01,ZNZ,,,,
영성,NS02,ZNZ,,,,
영아원,NS02,ZNZ,,,,
예결,NS03,ZNZ,,,,
예산안,NS02,ZNZ,,,,
예화집,NS02,ZNZ,,,,
오래간만,NS02,ZNZ,,,,
오일륙,NS02,ZNZ,,,,
오일팔,NS03,ZNZ,,,,
오장,NS02,ZNZ,,,,
오행,NS02,ZNZ,,,,
오행론,NS02,ZNZ,,,,
온수기,NS01,ZNZ,,,,
와이투케이,NS01,ZNZ,,,,
왕관,NS02,ZNZ,,,,
왜색,NS02,ZNZ,,,,
외손,NS02,ZNZ,,,,
요구량,NS02,ZNZ,,,,
용왕,NS02,ZNZ,,,,
용존,NS02,ZNZ,,,,
우렁이,NS01,ZNZ,,,,
우주적,NS02,ZNZ,,,,
우클라드,NS01,ZNZ,,,,
운명적,NS02,ZNZ,,,,
웃음기,NS01,ZNZ,,,,
원권,NS02,ZNZ,,,,
원동의,NS01,ZNZ,,,,
원두,NS01,ZNZ,,,,
원뿔,NS03,ZNZ,,,,
원안,NS02,ZNZ,,,,
위관,NS02,ZNZ,,,,
위락,NS02,ZNZ,,,,
위압적,NS02,ZNZ,,,,
위해,NS01,ZNZ,,,,
윗몸,NS02,ZNZ,,,,
윗옷,NS02,ZNZ,,,,
유,NS01,ZNZ,,,,
유구,NS01,ZNZ,,,,
유로화,NS01,ZNZ,,,,
유월,NS03,ZNZ,,,,
유전적,NS02,ZNZ,,,,
육두품,NS02,ZNZ,,,,
육부,NS01,ZNZ,,,,
육이구,NS01,ZNZ,,,,
육이오,NS01,ZNZ,,,,
육조,NS01,ZNZ,,,,
율기,NS01,ZNZ,,,,
은하단,NS02,ZNZ,,,,
을사오적,NS02,ZNZ,,,,
음악사,NS01,ZNZ,,,,
음양론,NS02,ZNZ,,,,
음적,NS02,ZNZ,,,,
읍,NS02,ZNZ,,,,
응답기,NS01,ZNZ,,,,
의례,NS01,ZNZ,,,,
의미적,NS02,ZNZ,,,,
의식주,NS01,ZNZ,,,,
의지적,NS02,ZNZ,,,,
의학과,NS01,ZNZ,,,,
이데올로기적,NS02,ZNZ,,,,
이등,NS02,ZNZ,,,,
이루타,NS01,ZNZ,,,,
이방인,NS02,ZNZ,,,,
이백,NS02,ZNZ,,,,
이부자리,NS01,ZNZ,,,,
이분법적,NS02,ZNZ,,,,
이사분기,NS01,ZNZ,,,,
이사제,NS01,ZNZ,,,,
이세,NS01,ZNZ,,,,
이즈음,NS02,ZNZ,,,,
이해득실,NS03,ZNZ,,,,
인당,NS02,ZNZ,,,,
인산염,NS02,ZNZ,,,,
인서트,NS01,ZNZ,,,,
인승,NS02,ZNZ,,,,
일거,NS01,ZNZ,,,,
일단,NS02,ZNZ,,,,
일대일,NS03,ZNZ,,,,
일사분기,NS01,ZNZ,,,,
일순,NS02,ZNZ,,,,
일시,NS01,ZNZ,,,,
일일,NS03,ZNZ,,,,
일직선,NS02,ZNZ,,,,
읽기,NS01,ZNZ,,,,
임계,NS01,ZNZ,,,,
임상적,NS02,ZNZ,,,,
입버릇,NS02,ZNZ,,,,
입속,NS02,ZNZ,,,,
자릿수,NS01,ZNZ,,,,
자사,NS01,ZNZ,,,,
자연관,NS02,ZNZ,,,,
자연사적,NS02,ZNZ,,,,
자연수,NS01,ZNZ,,,,
자연형,NS02,ZNZ,,,,
자유투,NS01,ZNZ,,,,
자줏빛,NS02,ZNZ,,,,
자초지종,NS02,ZNZ,,,,
작목,NS02,ZNZ,,,,
잔가지,NS01,ZNZ,,,,
잠시,NS01,ZNZ,,,,
장서가,NS01,ZNZ,,,,
장판지,NS01,ZNZ,,,,
재건축,NS02,ZNZ,,,,
재일,NS03,ZNZ,,,,
재청,NS02,ZNZ,,,,
저마다,NS01,ZNZ,,,,
적군파,NS01,ZNZ,,,,
적그리스도,NS01,ZNZ,,,,
전공의,NS01,ZNZ,,,,
전기적,NS02,ZNZ,,,,
전년도,NS01,ZNZ,,,,
전언,NS02,ZNZ,,,,
전용관,NS02,ZNZ,,,,
절약형,NS02,ZNZ,,,,
점괘,NS01,ZNZ,,,,
정보서,NS01,ZNZ,,,,
정삼각형,NS02,ZNZ,,,,
정신과,NS01,ZNZ,,,,
정신문화적,NS02,ZNZ,,,,
정외과,NS01,ZNZ,,,,
정원사,NS01,ZNZ,,,,
정작,NS02,ZNZ,,,,
제각각,NS02,ZNZ,,,,
제곱근,NS02,ZNZ,,,,
제국주의적,NS02,ZNZ,,,,
제삼국,NS02,ZNZ,,,,
제삼자,NS01,ZNZ,,,,
제삿날,NS03,ZNZ,,,,
제시어,NS01,ZNZ,,,,
조각배,NS01,ZNZ,,,,
조립식,NS02,ZNZ,,,,
조목조목,NS02,ZNZ,,,,
조선조,NS01,ZNZ,,,,
조정안,NS02,ZNZ,,,,
조제권,NS02,ZNZ,,,,
조형성,NS02,ZNZ,,,,
조형적,NS02,ZNZ,,,,
존댓말,NS03,ZNZ,,,,
존재적,NS02,ZNZ,,,,
졸,NS03,ZNZ,,,,
종생부,NS01,ZNZ,,,,
종언,NS02,ZNZ,,,,
종이학,NS02,ZNZ,,,,
주술적,NS02,ZNZ,,,,
주의적,NS02,ZNZ,,,,
주종,NS02,ZNE,,,,
주체사관,NS02,ZNZ,,,,
주총,NS02,ZNZ,,,,
주춧돌,NS03,ZNW,,,,
중장,NS02,ZNZ,,,,
증후군,NS02,ZNE,,,,
지상전,NS02,ZNZ,,,,
지아이,NS01,ZNZ,,,,
지은이,NS01,ZNE,,,,
